"Year","Period","Geo Level","State","State ANSI","Marketing_channels","Utilizations","Category","Metric","Remark","Value"
2018,"YEAR","NATIONAL","US TOTAL",NA,"PROCESSING",NA,"PRODUCTION","MEASURED IN $",NA,229741000
2018,"YEAR","NATIONAL","US TOTAL",NA,"PROCESSING","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,5258800
2018,"YEAR","NATIONAL","US TOTAL",NA,"PROCESSING","UTILIZED","PRODUCTION","MEASURED IN TONS",NA,284740
2018,"YEAR","NATIONAL","US TOTAL",NA,NA,"UTILIZED","PRODUCTION","MEASURED IN CWT",NA,26454900
2018,"YEAR","STATE","CALIFORNIA","06",NA,NA,"ACRES HARVESTED",NA,NA,36300
2018,"YEAR","STATE","CALIFORNIA","06",NA,NA,"ACRES PLANTED",NA,NA,36300
2018,"YEAR","STATE","CALIFORNIA","06",NA,NA,"PRODUCTION","MEASURED IN $",NA,2179066000
2018,"YEAR","STATE","CALIFORNIA","06",NA,NA,"PRODUCTION","MEASURED IN CWT",NA,2.4e+07
2018,"YEAR","STATE","CALIFORNIA","06",NA,NA,"YIELD","MEASURED IN CWT / ACRE",NA,660
2018,"YEAR","STATE","CALIFORNIA","06","FRESH MARKET",NA,"PRODUCTION","MEASURED IN $",NA,1964352000
2018,"YEAR","STATE","CALIFORNIA","06","FRESH MARKET","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,18888000
2018,"YEAR","STATE","CALIFORNIA","06",NA,NA,"NOT SOLD PRODUCTION","MEASURED IN CWT",NA,24000
2018,"YEAR","STATE","CALIFORNIA","06","PROCESSING",NA,"PRODUCTION","MEASURED IN $",NA,214714000
2018,"YEAR","STATE","CALIFORNIA","06","PROCESSING","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,5088000
2018,"YEAR","STATE","CALIFORNIA","06","PROCESSING","UTILIZED","PRODUCTION","MEASURED IN TONS",NA,276358
2018,"YEAR","STATE","CALIFORNIA","06",NA,"UTILIZED","PRODUCTION","MEASURED IN CWT",NA,23976000
2018,"YEAR","STATE","FLORIDA","12",NA,NA,"ACRES HARVESTED",NA,NA,9400
2018,"YEAR","STATE","FLORIDA","12",NA,NA,"ACRES PLANTED",NA,NA,9400
2018,"YEAR","STATE","FLORIDA","12",NA,NA,"PRODUCTION","MEASURED IN $",NA,243800000
2018,"YEAR","STATE","FLORIDA","12",NA,NA,"PRODUCTION","MEASURED IN CWT",NA,2120000
2018,"YEAR","STATE","FLORIDA","12",NA,NA,"YIELD","MEASURED IN CWT / ACRE",NA,225
2018,"YEAR","STATE","FLORIDA","12","FRESH MARKET",NA,"PRODUCTION","MEASURED IN $",NA,243800000
2018,"YEAR","STATE","FLORIDA","12","FRESH MARKET","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,2120000
2018,"YEAR","STATE","FLORIDA","12",NA,NA,"NOT SOLD PRODUCTION","MEASURED IN CWT",NA,0
2018,"YEAR","STATE","FLORIDA","12","PROCESSING",NA,"PRODUCTION","MEASURED IN $",NA,0
2018,"YEAR","STATE","FLORIDA","12","PROCESSING","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,0
2018,"YEAR","STATE","FLORIDA","12","PROCESSING","UTILIZED","PRODUCTION","MEASURED IN TONS",NA,0
2018,"YEAR","STATE","FLORIDA","12",NA,"UTILIZED","PRODUCTION","MEASURED IN CWT",NA,2120000
2018,"YEAR","STATE","NEW YORK","36",NA,NA,"ACRES HARVESTED",NA,NA,700
2018,"YEAR","STATE","NEW YORK","36",NA,NA,"ACRES PLANTED",NA,NA,800
2018,"YEAR","STATE","NEW YORK","36",NA,NA,"PRODUCTION","MEASURED IN $",NA,6065000
2018,"YEAR","STATE","NEW YORK","36",NA,NA,"PRODUCTION","MEASURED IN CWT",NA,30000
2018,"YEAR","STATE","NEW YORK","36",NA,NA,"YIELD","MEASURED IN CWT / ACRE",NA,44
2018,"YEAR","STATE","NEW YORK","36","FRESH MARKET",NA,"PRODUCTION","MEASURED IN $",NA,604436.2
2018,"YEAR","STATE","NEW YORK","36","FRESH MARKET","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,604436.2
2018,"YEAR","STATE","NEW YORK","36",NA,NA,"NOT SOLD PRODUCTION","MEASURED IN CWT",NA,200
2018,"YEAR","STATE","NEW YORK","36","PROCESSING",NA,"PRODUCTION","MEASURED IN $",NA,604436.2
2018,"YEAR","STATE","NEW YORK","36","PROCESSING","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,604436.2
2018,"YEAR","STATE","NEW YORK","36",NA,"UTILIZED","PRODUCTION","MEASURED IN CWT",NA,29800
2018,"YEAR","STATE","NORTH CAROLINA","37",NA,NA,"ACRES HARVESTED",NA,NA,1000
2018,"YEAR","STATE","NORTH CAROLINA","37",NA,NA,"ACRES PLANTED",NA,NA,1100
2018,"YEAR","STATE","NORTH CAROLINA","37",NA,NA,"PRODUCTION","MEASURED IN $",NA,22230000
2018,"YEAR","STATE","NORTH CAROLINA","37",NA,NA,"PRODUCTION","MEASURED IN CWT",NA,130000
2018,"YEAR","STATE","NORTH CAROLINA","37",NA,NA,"YIELD","MEASURED IN CWT / ACRE",NA,125
2018,"YEAR","STATE","NORTH CAROLINA","37","FRESH MARKET",NA,"PRODUCTION","MEASURED IN $",NA,22230000
2018,"YEAR","STATE","NORTH CAROLINA","37","FRESH MARKET","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,130000
2018,"YEAR","STATE","NORTH CAROLINA","37",NA,NA,"NOT SOLD PRODUCTION","MEASURED IN CWT",NA,0
2018,"YEAR","STATE","NORTH CAROLINA","37","PROCESSING",NA,"PRODUCTION","MEASURED IN $",NA,0
2018,"YEAR","STATE","NORTH CAROLINA","37","PROCESSING","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,0
2018,"YEAR","STATE","NORTH CAROLINA","37","PROCESSING","UTILIZED","PRODUCTION","MEASURED IN TONS",NA,0
2018,"YEAR","STATE","NORTH CAROLINA","37",NA,"UTILIZED","PRODUCTION","MEASURED IN CWT",NA,130000
2018,"YEAR","STATE","OREGON","41",NA,NA,"ACRES HARVESTED",NA,NA,1100
2018,"YEAR","STATE","OREGON","41",NA,NA,"ACRES PLANTED",NA,NA,1300
2018,"YEAR","STATE","OREGON","41",NA,NA,"PRODUCTION","MEASURED IN $",NA,11687000
2018,"YEAR","STATE","OREGON","41",NA,NA,"PRODUCTION","MEASURED IN CWT",NA,110000
2018,"YEAR","STATE","OREGON","41",NA,NA,"YIELD","MEASURED IN CWT / ACRE",NA,100
2018,"YEAR","STATE","OREGON","41","FRESH MARKET",NA,"PRODUCTION","MEASURED IN $",NA,1325389.6
2018,"YEAR","STATE","OREGON","41","FRESH MARKET","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,1325389.6
2018,"YEAR","STATE","OREGON","41",NA,NA,"NOT SOLD PRODUCTION","MEASURED IN CWT",NA,700
2018,"YEAR","STATE","OREGON","41","PROCESSING",NA,"PRODUCTION","MEASURED IN $",NA,1325389.6
2018,"YEAR","STATE","OREGON","41","PROCESSING","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,1325389.6
2018,"YEAR","STATE","OREGON","41",NA,"UTILIZED","PRODUCTION","MEASURED IN CWT",NA,109300
2018,"YEAR","STATE","OTHER STATES",NA,"FRESH MARKET",NA,"PRODUCTION","MEASURED IN $",NA,12324000
2018,"YEAR","STATE","OTHER STATES",NA,"FRESH MARKET","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,58100
2018,"YEAR","STATE","OTHER STATES",NA,"PROCESSING",NA,"PRODUCTION","MEASURED IN $",NA,15027000
2018,"YEAR","STATE","OTHER STATES",NA,"PROCESSING","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,170800
2018,"YEAR","STATE","WASHINGTON","53",NA,NA,"ACRES HARVESTED",NA,NA,820
2018,"YEAR","STATE","WASHINGTON","53",NA,NA,"ACRES PLANTED",NA,NA,900
2018,"YEAR","STATE","WASHINGTON","53",NA,NA,"PRODUCTION","MEASURED IN $",NA,9599000
2018,"YEAR","STATE","WASHINGTON","53",NA,NA,"PRODUCTION","MEASURED IN CWT",NA,90000
2018,"YEAR","STATE","WASHINGTON","53",NA,NA,"YIELD","MEASURED IN CWT / ACRE",NA,105
2018,"YEAR","STATE","WASHINGTON","53","FRESH MARKET",NA,"PRODUCTION","MEASURED IN $",NA,972521.5
2018,"YEAR","STATE","WASHINGTON","53","FRESH MARKET","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,972521.5
2018,"YEAR","STATE","WASHINGTON","53",NA,NA,"NOT SOLD PRODUCTION","MEASURED IN CWT",NA,200
2018,"YEAR","STATE","WASHINGTON","53","PROCESSING",NA,"PRODUCTION","MEASURED IN $",NA,972521.5
2018,"YEAR","STATE","WASHINGTON","53","PROCESSING","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,972521.5
2018,"YEAR","STATE","WASHINGTON","53",NA,"UTILIZED","PRODUCTION","MEASURED IN CWT",NA,89800
2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA,NA,NA,"ACRES HARVESTED",NA,NA,49920
2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA,NA,NA,"ACRES PLANTED",NA,NA,50600
2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA,NA,NA,"PRODUCTION","MEASURED IN $",NA,3371461000
2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA,NA,NA,"PRODUCTION","MEASURED IN CWT",NA,31764900
2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA,NA,NA,"YIELD","MEASURED IN CWT / ACRE",NA,636.3
2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA,"FRESH MARKET",NA,"PRODUCTION","MEASURED IN $",NA,3154923000
2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA,"FRESH MARKET","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,26040000
2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA,NA,NA,"NOT SOLD PRODUCTION","MEASURED IN CWT",NA,30100
2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA,"PROCESSING",NA,"PRODUCTION","MEASURED IN $",NA,216538000
2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA,"PROCESSING","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,5694800
2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA,"PROCESSING","UTILIZED","PRODUCTION","MEASURED IN TONS",NA,284740
2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA,NA,"UTILIZED","PRODUCTION","MEASURED IN CWT",NA,31734800
2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","06",NA,NA,"ACRES HARVESTED",NA,NA,36400
2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","06",NA,NA,"ACRES PLANTED",NA,NA,36500
2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","06",NA,NA,"PRODUCTION","MEASURED IN $",NA,3030953000
2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","06",NA,NA,"PRODUCTION","MEASURED IN CWT",NA,28938000
2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","06",NA,NA,"YIELD","MEASURED IN CWT / ACRE",NA,795
2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","06","FRESH MARKET",NA,"PRODUCTION","MEASURED IN $",NA,2829210000
2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","06","FRESH MARKET","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,23381900
2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","06",NA,NA,"NOT SOLD PRODUCTION","MEASURED IN CWT",NA,28900
2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","06","PROCESSING",NA,"PRODUCTION","MEASURED IN $",NA,201743000
2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","06","PROCESSING","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,5527200
2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","06","PROCESSING","UTILIZED","PRODUCTION","MEASURED IN TONS",NA,276358
2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","06",NA,"UTILIZED","PRODUCTION","MEASURED IN CWT",NA,28909100
2018,"YEAR - AUG FORECAST","STATE","FLORIDA","12",NA,NA,"ACRES HARVESTED",NA,NA,9900
2018,"YEAR - AUG FORECAST","STATE","FLORIDA","12",NA,NA,"ACRES PLANTED",NA,NA,10000
2018,"YEAR - AUG FORECAST","STATE","FLORIDA","12",NA,NA,"PRODUCTION","MEASURED IN $",NA,292050000
2018,"YEAR - AUG FORECAST","STATE","FLORIDA","12",NA,NA,"PRODUCTION","MEASURED IN CWT",NA,2475000
2018,"YEAR - AUG FORECAST","STATE","FLORIDA","12",NA,NA,"YIELD","MEASURED IN CWT / ACRE",NA,250
2018,"YEAR - AUG FORECAST","STATE","FLORIDA","12","FRESH MARKET",NA,"PRODUCTION","MEASURED IN $",NA,292050000
2018,"YEAR - AUG FORECAST","STATE","FLORIDA","12","FRESH MARKET","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,2475000
2018,"YEAR - AUG FORECAST","STATE","FLORIDA","12",NA,NA,"NOT SOLD PRODUCTION","MEASURED IN CWT",NA,0
2018,"YEAR - AUG FORECAST","STATE","FLORIDA","12","PROCESSING",NA,"PRODUCTION","MEASURED IN $",NA,0
2018,"YEAR - AUG FORECAST","STATE","FLORIDA","12","PROCESSING","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,0
2018,"YEAR - AUG FORECAST","STATE","FLORIDA","12","PROCESSING","UTILIZED","PRODUCTION","MEASURED IN TONS",NA,0
2018,"YEAR - AUG FORECAST","STATE","FLORIDA","12",NA,"UTILIZED","PRODUCTION","MEASURED IN CWT",NA,2475000
2018,"YEAR - AUG FORECAST","STATE","NEW YORK","36",NA,NA,"ACRES HARVESTED",NA,NA,700
2018,"YEAR - AUG FORECAST","STATE","NEW YORK","36",NA,NA,"ACRES PLANTED",NA,NA,800
2018,"YEAR - AUG FORECAST","STATE","NEW YORK","36",NA,NA,"PRODUCTION","MEASURED IN $",NA,6229000
2018,"YEAR - AUG FORECAST","STATE","NEW YORK","36",NA,NA,"PRODUCTION","MEASURED IN CWT",NA,30800
2018,"YEAR - AUG FORECAST","STATE","NEW YORK","36",NA,NA,"YIELD","MEASURED IN CWT / ACRE",NA,44
2018,"YEAR - AUG FORECAST","STATE","NEW YORK","36","FRESH MARKET",NA,"PRODUCTION","MEASURED IN $",NA,542037.3
2018,"YEAR - AUG FORECAST","STATE","NEW YORK","36","FRESH MARKET","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,542037.3
2018,"YEAR - AUG FORECAST","STATE","NEW YORK","36",NA,NA,"NOT SOLD PRODUCTION","MEASURED IN CWT",NA,200
2018,"YEAR - AUG FORECAST","STATE","NEW YORK","36","PROCESSING",NA,"PRODUCTION","MEASURED IN $",NA,542037.3
2018,"YEAR - AUG FORECAST","STATE","NEW YORK","36","PROCESSING","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,542037.3
2018,"YEAR - AUG FORECAST","STATE","NEW YORK","36",NA,"UTILIZED","PRODUCTION","MEASURED IN CWT",NA,30600
2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","37",NA,NA,"ACRES HARVESTED",NA,NA,1000
2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","37",NA,NA,"ACRES PLANTED",NA,NA,1100
2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","37",NA,NA,"PRODUCTION","MEASURED IN $",NA,21375000
2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","37",NA,NA,"PRODUCTION","MEASURED IN CWT",NA,125000
2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","37",NA,NA,"YIELD","MEASURED IN CWT / ACRE",NA,125
2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","37","FRESH MARKET",NA,"PRODUCTION","MEASURED IN $",NA,21375000
2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","37","FRESH MARKET","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,125000
2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","37",NA,NA,"NOT SOLD PRODUCTION","MEASURED IN CWT",NA,0
2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","37","PROCESSING",NA,"PRODUCTION","MEASURED IN $",NA,0
2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","37","PROCESSING","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,0
2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","37","PROCESSING","UTILIZED","PRODUCTION","MEASURED IN TONS",NA,0
2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","37",NA,"UTILIZED","PRODUCTION","MEASURED IN CWT",NA,125000
2018,"YEAR - AUG FORECAST","STATE","OREGON","41",NA,NA,"ACRES HARVESTED",NA,NA,1100
2018,"YEAR - AUG FORECAST","STATE","OREGON","41",NA,NA,"ACRES PLANTED",NA,NA,1300
2018,"YEAR - AUG FORECAST","STATE","OREGON","41",NA,NA,"PRODUCTION","MEASURED IN $",NA,11687000
2018,"YEAR - AUG FORECAST","STATE","OREGON","41",NA,NA,"PRODUCTION","MEASURED IN CWT",NA,110000
2018,"YEAR - AUG FORECAST","STATE","OREGON","41",NA,NA,"YIELD","MEASURED IN CWT / ACRE",NA,100
2018,"YEAR - AUG FORECAST","STATE","OREGON","41","FRESH MARKET",NA,"PRODUCTION","MEASURED IN $",NA,1188563.4
2018,"YEAR - AUG FORECAST","STATE","OREGON","41","FRESH MARKET","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,1188563.4
2018,"YEAR - AUG FORECAST","STATE","OREGON","41",NA,NA,"NOT SOLD PRODUCTION","MEASURED IN CWT",NA,700
2018,"YEAR - AUG FORECAST","STATE","OREGON","41","PROCESSING",NA,"PRODUCTION","MEASURED IN $",NA,1188563.4
2018,"YEAR - AUG FORECAST","STATE","OREGON","41","PROCESSING","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,1188563.4
2018,"YEAR - AUG FORECAST","STATE","OREGON","41",NA,"UTILIZED","PRODUCTION","MEASURED IN CWT",NA,109300
2018,"YEAR - AUG FORECAST","STATE","OTHER STATES",NA,"FRESH MARKET",NA,"PRODUCTION","MEASURED IN $",NA,12288000
2018,"YEAR - AUG FORECAST","STATE","OTHER STATES",NA,"FRESH MARKET","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,58100
2018,"YEAR - AUG FORECAST","STATE","OTHER STATES",NA,"PROCESSING",NA,"PRODUCTION","MEASURED IN $",NA,14795000
2018,"YEAR - AUG FORECAST","STATE","OTHER STATES",NA,"PROCESSING","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,167600
2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","53",NA,NA,"ACRES HARVESTED",NA,NA,820
2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","53",NA,NA,"ACRES PLANTED",NA,NA,900
2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","53",NA,NA,"PRODUCTION","MEASURED IN $",NA,9167000
2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","53",NA,NA,"PRODUCTION","MEASURED IN CWT",NA,86100
2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","53",NA,NA,"YIELD","MEASURED IN CWT / ACRE",NA,105
2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","53","FRESH MARKET",NA,"PRODUCTION","MEASURED IN $",NA,872123.6
2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","53","FRESH MARKET","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,872123.6
2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","53",NA,NA,"NOT SOLD PRODUCTION","MEASURED IN CWT",NA,300
2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","53","PROCESSING",NA,"PRODUCTION","MEASURED IN $",NA,872123.6
2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","53","PROCESSING","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,872123.6
2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","53",NA,"UTILIZED","PRODUCTION","MEASURED IN CWT",NA,85800
